,scales,freqs,y
0,"['F', 'C#', 'G#', 'C', 'F#', 'D#', 'B']","[0.0030257186081694403, 0.030257186081694403, 0.03479576399394856, 0.09228441754916793, 0.2481089258698941, 0.0, 0.07261724659606657, 0.007564296520423601, 0.291981845688351, 0.07715582450832073, 0.019667170953101363, 0.12254160363086233]",Bilawal Dheerashankarabharanam
1,"['F', 'C', 'G', 'E', 'A#', 'C#', 'G#']","[0.01361573373676248, 0.07413010590015129, 0.025718608169440244, 0.19213313161875945, 0.039334341906202726, 0.028744326777609682, 0.019667170953101363, 0.14826021180030258, 0.24205748865355523, 0.02723146747352496, 0.15279878971255673, 0.036308623298033284]",Bilawal Dheerashankarabharanam
2,"['C', 'E', 'F', 'G', 'A#', 'C#', 'D#']","[0.02723146747352496, 0.06505295007564296, 0.009077155824508321, 0.34795763993948564, 0.0453857791225416, 0.0226928895612708, 0.03328290468986384, 0.16944024205748864, 0.1649016641452345, 0.01361573373676248, 0.07564296520423601, 0.025718608169440244]",Bilawal Dheerashankarabharanam
3,"['F', 'C', 'G', 'A#', 'E', 'B', 'G#']","[0.02118003025718608, 0.12102874432677761, 0.06505295007564296, 0.17246596066565809, 0.030257186081694403, 0.025718608169440244, 0.03177004538577912, 0.09833585476550681, 0.19213313161875945, 0.03328290468986384, 0.16338880484114976, 0.0453857791225416]",Bilawal Dheerashankarabharanam
4,"['C', 'G', 'E', 'F', 'A', 'B', 'D']","[0.10050251256281408, 0.02512562814070352, 0.06197654941373534, 0.27638190954773867, 0.0, 0.03350083752093802, 0.005025125628140704, 0.18090452261306533, 0.10050251256281408, 0.0033500837520938024, 0.20435510887772193, 0.008375209380234505]",Bilawal Dheerashankarabharanam
5,"['E', 'C', 'G', 'B', 'F', 'D', 'D#']","[0.015128593040847202, 0.019667170953101363, 0.08623298033282904, 0.22087745839636913, 0.01664145234493192, 0.04236006051437216, 0.03328290468986384, 0.3464447806354009, 0.06959152798789713, 0.01664145234493192, 0.13010590015128592, 0.0030257186081694403]",Bilawal Dheerashankarabharanam
6,"['E', 'F', 'A', 'G', 'D', 'A#', 'B']","[0.13313161875945537, 0.09228441754916793, 0.08169440242057488, 0.07261724659606657, 0.0015128593040847202, 0.09228441754916793, 0.030257186081694403, 0.19667170953101362, 0.15582450832072617, 0.0030257186081694403, 0.12859304084720122, 0.012102874432677761]",Khamaj Harikambhoji
7,"['E', 'F', 'A', 'G', 'B', 'C', 'A#']","[0.14674735249621784, 0.07261724659606657, 0.10287443267776097, 0.08169440242057488, 0.0030257186081694403, 0.06202723146747353, 0.07110438729198185, 0.1573373676248109, 0.15279878971255673, 0.0, 0.14069591527987896, 0.009077155824508321]",Khamaj Harikambhoji
8,"['C', 'E', 'G', 'A', 'B', 'F', 'D']","[0.09228441754916793, 0.024205748865355523, 0.0832072617246596, 0.40998487140695916, 0.0, 0.028744326777609682, 0.007564296520423601, 0.14674735249621784, 0.07564296520423601, 0.02723146747352496, 0.09682299546142209, 0.007564296520423601]",Khamaj Harikambhoji
9,"['C', 'E', 'A', 'D', 'G', 'B', 'A#']","[0.10136157337367625, 0.05597579425113464, 0.07110438729198185, 0.36459909228441756, 0.006051437216338881, 0.09379727685325265, 0.024205748865355523, 0.12859304084720122, 0.039334341906202726, 0.02723146747352496, 0.07413010590015129, 0.01361573373676248]",Khamaj Harikambhoji
10,"['C', 'G', 'B', 'E', 'D#', 'A', 'A#']","[0.07110438729198185, 0.0453857791225416, 0.1573373676248109, 0.24357034795763993, 0.018154311649016642, 0.02723146747352496, 0.08623298033282904, 0.1043872919818457, 0.02118003025718608, 0.0045385779122541605, 0.2178517397881997, 0.0030257186081694403]",Khamaj Harikambhoji
11,"['G', 'C', 'E', 'B', 'A#', 'A', 'D']","[0.05597579425113464, 0.06354009077155824, 0.12708018154311648, 0.2102874432677761, 0.04387291981845688, 0.05143721633888049, 0.046898638426626324, 0.1346444780635401, 0.049924357034795766, 0.0, 0.21633888048411498, 0.0]",Khamaj Harikambhoji
12,"['C', 'G', 'C#', 'D#', 'G#', 'A#', 'D']","[0.006051437216338881, 0.06354009077155824, 0.019667170953101363, 0.2874432677760968, 0.13918305597579425, 0.049924357034795766, 0.12708018154311648, 0.03177004538577912, 0.046898638426626324, 0.0045385779122541605, 0.14069591527987896, 0.0832072617246596]",Asavari Natabhairavi
13,"['C', 'C#', 'A#', 'D#', 'G', 'D', 'B']","[0.01361573373676248, 0.1059001512859304, 0.07110438729198185, 0.2844175491679274, 0.11346444780635401, 0.08018154311649017, 0.09833585476550681, 0.05446293494704992, 0.02723146747352496, 0.0, 0.0832072617246596, 0.0680786686838124]",Asavari Natabhairavi
14,"['D', 'A', 'E', 'A#', 'C', 'F#', 'G']","[0.1951588502269289, 0.06202723146747353, 0.04236006051437216, 0.059001512859304085, 0.01664145234493192, 0.23600605143721634, 0.018154311649016642, 0.14674735249621784, 0.05446293494704992, 0.059001512859304085, 0.057488653555219364, 0.0529500756429652]",Asavari Natabhairavi
15,"['G', 'D', 'D#', 'G#', 'A', 'C', 'F']","[0.10287443267776097, 0.03479576399394856, 0.012102874432677761, 0.0529500756429652, 0.006051437216338881, 0.15431164901664146, 0.12254160363086233, 0.01361573373676248, 0.03479576399394856, 0.01361573373676248, 0.3313161875945537, 0.12102874432677761]",Asavari Natabhairavi
16,"['G', 'C', 'D', 'A', 'D#', 'G#', 'A#']","[0.11043872919818457, 0.039334341906202726, 0.01361573373676248, 0.13767019667170954, 0.0045385779122541605, 0.12254160363086233, 0.10287443267776097, 0.01361573373676248, 0.03479576399394856, 0.015128593040847202, 0.30559757942511345, 0.09984871406959153]",Asavari Natabhairavi
17,"['G', 'D', 'D#', 'C', 'G#', 'F', 'A']","[0.028744326777609682, 0.018154311649016642, 0.0030257186081694403, 0.08169440242057488, 0.006051437216338881, 0.14826021180030258, 0.13161875945537066, 0.019667170953101363, 0.06505295007564296, 0.01059001512859304, 0.40998487140695916, 0.07715582450832073]",Asavari Natabhairavi
18,"['D', 'C', 'G', 'F', 'A', 'D#', 'B']","[0.09379727685325265, 0.07261724659606657, 0.07564296520423601, 0.19818456883509833, 0.0015128593040847202, 0.2118003025718608, 0.07866868381240545, 0.057488653555219364, 0.09833585476550681, 0.0015128593040847202, 0.10741301059001512, 0.0030257186081694403]",Kafi Karaharapriya
19,"['C', 'A', 'D', 'D#', 'A#', 'F', 'G']","[0.17095310136157338, 0.1043872919818457, 0.0529500756429652, 0.1875945537065053, 0.007564296520423601, 0.14826021180030258, 0.11497730711043873, 0.025718608169440244, 0.09984871406959153, 0.0015128593040847202, 0.08472012102874432, 0.0015128593040847202]",Kafi Karaharapriya
20,"['C', 'G', 'D', 'F', 'A#', 'D#', 'A']","[0.036308623298033284, 0.06202723146747353, 0.0030257186081694403, 0.3373676248108926, 0.0, 0.12859304084720122, 0.059001512859304085, 0.025718608169440244, 0.1059001512859304, 0.0045385779122541605, 0.2344931921331316, 0.0030257186081694403]",Kafi Karaharapriya
21,"['C', 'G', 'F', 'D#', 'D', 'A', 'A#']","[0.07715582450832073, 0.04387291981845688, 0.0, 0.3177004538577912, 0.0045385779122541605, 0.07866868381240545, 0.08925869894099848, 0.01361573373676248, 0.12254160363086233, 0.0045385779122541605, 0.24205748865355523, 0.006051437216338881]",Kafi Karaharapriya
22,"['C', 'G', 'F', 'D', 'D#', 'E', 'A#']","[0.025718608169440244, 0.02723146747352496, 0.0015128593040847202, 0.340393343419062, 0.006051437216338881, 0.0832072617246596, 0.07715582450832073, 0.028744326777609682, 0.14674735249621784, 0.007564296520423601, 0.23903177004538578, 0.01664145234493192]",Kafi Karaharapriya
23,"['C', 'G', 'F', 'A', 'A#', 'D#', 'G#']","[0.07715582450832073, 0.0680786686838124, 0.0015128593040847202, 0.2481089258698941, 0.018154311649016642, 0.05143721633888049, 0.06202723146747353, 0.05143721633888049, 0.10741301059001512, 0.046898638426626324, 0.20726172465960666, 0.060514372163388806]",Kafi Karaharapriya
24,"['G', 'C', 'A#', 'G#', 'E', 'D', 'F']","[0.024205748865355523, 0.1422087745839637, 0.06505295007564296, 0.15582450832072617, 0.046898638426626324, 0.07413010590015129, 0.06505295007564296, 0.08472012102874432, 0.07261724659606657, 0.0045385779122541605, 0.1664145234493192, 0.09833585476550681]",Bhairavi Hanumatodi
25,"['C', 'A#', 'D#', 'G', 'G#', 'D', 'C#']","[0.0226928895612708, 0.15431164901664146, 0.04084720121028744, 0.2586989409984871, 0.06959152798789713, 0.09228441754916793, 0.10136157337367625, 0.0226928895612708, 0.04084720121028744, 0.0030257186081694403, 0.09984871406959153, 0.09379727685325265]",Bhairavi Hanumatodi
26,"['C', 'G', 'G#', 'D#', 'F', 'A#', 'D']","[0.01059001512859304, 0.06354009077155824, 0.0, 0.23600605143721634, 0.030257186081694403, 0.0529500756429652, 0.12102874432677761, 0.036308623298033284, 0.1043872919818457, 0.024205748865355523, 0.17549167927382753, 0.14523449319213314]",Bhairavi Hanumatodi
27,"['C', 'G', 'G#', 'F', 'D#', 'A#', 'D']","[0.01361573373676248, 0.06656580937972768, 0.006051437216338881, 0.2708018154311649, 0.0453857791225416, 0.06202723146747353, 0.07866868381240545, 0.04084720121028744, 0.11800302571860817, 0.024205748865355523, 0.13767019667170954, 0.1361573373676248]",Bhairavi Hanumatodi
28,"['C', 'G', 'F', 'G#', 'D#', 'E', 'C#']","[0.015128593040847202, 0.02723146747352496, 0.0015128593040847202, 0.2632375189107413, 0.07110438729198185, 0.05446293494704992, 0.08774583963691376, 0.07564296520423601, 0.12405446293494705, 0.030257186081694403, 0.1437216338880484, 0.1059001512859304]",Bhairavi Hanumatodi
29,"['G', 'C', 'D', 'A', 'E', 'F', 'D#']","[0.12708018154311648, 0.01664145234493192, 0.015128593040847202, 0.2314674735249622, 0.007564296520423601, 0.1437216338880484, 0.049924357034795766, 0.07110438729198185, 0.05143721633888049, 0.007564296520423601, 0.26626323751891073, 0.012102874432677761]",Bhairavi Hanumatodi
